time,energy
0.0,-1252.658373378177
0.2,-1252.378928576103
0.4,-1252.3130166589422
0.6,-1252.407539940292
0.8,-1252.3468316523533
1.0,-1252.4879658541065
1.2,-1252.5712977432238
1.4000000000000001,-1252.2894554448987
1.6,-1252.2227790516997
1.8,-1252.5414464198523
2.0,-1252.4997739465384
2.2,-1252.3726531232342
2.4,-1252.43105087812
2.6,-1252.2627386980696
2.8000000000000003,-1252.3548735402037
3.0,-1252.6144523918638
3.2,-1252.4395585026903
3.4,-1252.2187672528428
3.6,-1252.3523890118474
3.8000000000000003,-1252.474693290582
4.0,-1252.4053735277662
4.2,-1252.4901456537118
4.4,-1252.3429876613843
4.6000000000000005,-1252.1507454200719
4.8,-1252.5113955049565
5.0,-1252.5593785719027
5.2,-1252.288764852799
5.4,-1252.3318064813964
5.6000000000000005,-1252.341284416829
5.8,-1252.3394328626594
6.0,-1252.5212351666414
6.2,-1252.4863719850844
6.4,-1252.1543408292735
6.6000000000000005,-1252.2880665264483
6.8,-1252.5668928692226
7.0,-1252.3647694995707
7.2,-1252.397601270055
7.4,-1252.3802883522233
7.6000000000000005,-1252.1711116336226
7.8,-1252.468934967436
8.0,-1252.5954628326751
8.2,-1252.285874799451
8.4,-1252.248600353332
8.6,-1252.418503082601
8.8,-1252.3946388954475
9.0,-1252.4498038327743
9.200000000000001,-1252.5092656788413
9.4,-1252.1958764093163
9.6,-1252.2803966534025
9.8,-1252.6121553670039
10.0,-1252.4248457466754
10.200000000000001,-1252.3345018877205
10.4,-1252.38623810789
10.6,-1252.3092220324627
10.8,-1252.4349412318406
11.0,-1252.5925685016807
11.200000000000001,-1252.3736348012917
11.4,-1252.198489580456
11.6,-1252.4718793961688
11.8,-1252.5075728183367
12.0,-1252.3938769294582
12.200000000000001,-1252.4785900471104
12.4,-1252.2983161727798
12.6,-1252.2938321383976
12.8,-1252.5849340874051
13.0,-1252.5197347556018
13.200000000000001,-1252.2771992868381
13.4,-1252.3430341916876
13.6,-1252.4654376222484
13.8,-1252.3862691606005
14.0,-1252.5214388008633
14.200000000000001,-1252.4453696694982
14.4,-1252.1549378918921
14.6,-1252.4567366858191
14.8,-1252.5770398026104
15.0,-1252.3368929360056
15.200000000000001,-1252.3846456222727
15.4,-1252.366947903688
15.6,-1252.3023663287056
15.8,-1252.4870682218557
16.0,-1252.546252238618
16.2,-1252.227711479223
16.4,-1252.2645726757626
16.6,-1252.536174743803
16.8,-1252.355697753756
17.0,-1252.4113457087408
17.2,-1252.4445796280058
17.400000000000002,-1252.1715039563107
17.6,-1252.3957738593265
17.8,-1252.567116527397
18.0,-1252.330386538464
18.2,-1252.2762041218468
18.400000000000002,-1252.3936140269038
18.6,-1252.36187708463
18.8,-1252.3903388839549
19.0,-1252.5207516153112
19.2,-1252.2633193977238
19.400000000000002,-1252.2270491060222
19.6,-1252.54155843625
19.8,-1252.4105760055415
20.0,-1252.3281472312817
20.2,-1252.413309692124
20.400000000000002,-1252.3071317387046
20.6,-1252.356988448857
20.8,-1252.5345424705777
21.0,-1252.4184940782077
21.2,-1252.2198725116255
21.400000000000002,-1252.4230144837097
21.6,-1252.4838160125926
21.8,-1252.340142558404
22.0,-1252.4792989185885
22.2,-1252.3742310863076
22.400000000000002,-1252.259166772529
22.6,-1252.5193566778205
22.8,-1252.5158019687296
23.0,-1252.2939882681867
23.2,-1252.3738486173834
23.400000000000002,-1252.4765578023546
23.6,-1252.3449806400927
23.8,-1252.478673518738
24.0,-1252.5028200088796
24.2,-1252.2151059761002
24.400000000000002,-1252.43358658757
24.6,-1252.5673794364322
24.8,-1252.3257704248922
25.0,-1252.4042555996552
