time,energy
0.0,-1252.658373378177
0.2,-1252.4833175440847
0.4,-1252.48669889533
0.6,-1252.4855415589523
0.8,-1252.4832395389467
1.0,-1252.4806489798361
1.2,-1252.4807710951811
1.4000000000000001,-1252.4852429762623
1.6,-1252.4872699021546
1.8,-1252.4840030780756
2.0,-1252.481033905775
2.2,-1252.480949964108
2.4,-1252.482973995493
2.6,-1252.4863488094502
2.8000000000000003,-1252.4865236278504
3.0,-1252.481950541729
3.2,-1252.4799167285487
3.4,-1252.4825900226106
3.6,-1252.4849376642846
3.8000000000000003,-1252.4862785733594
4.0,-1252.4848320720507
4.2,-1252.4802811423299
4.4,-1252.4803054033387
4.6000000000000005,-1252.4846769361948
4.8,-1252.4860606138996
5.0,-1252.4851140505502
5.2,-1252.4827825903471
5.4,-1252.4798234971267
5.6000000000000005,-1252.4818596817354
5.8,-1252.4863172775845
6.0,-1252.4861054557948
6.2,-1252.4832301880163
6.4,-1252.4812247687446
6.6000000000000005,-1252.4807724933564
6.8,-1252.4837039166605
7.0,-1252.487087566722
7.2,-1252.4852036748653
7.4,-1252.4811610460808
7.6000000000000005,-1252.4807684394418
7.8,-1252.4827048924628
8.0,-1252.4852008774667
8.2,-1252.4867940799527
8.4,-1252.483552241837
8.6,-1252.4797003070387
8.8,-1252.4816554375013
9.0,-1252.4848535974772
9.200000000000001,-1252.4858672694072
9.4,-1252.4854598128854
9.6,-1252.4817511913989
9.8,-1252.4795033020785
10.0,-1252.4834304933895
10.200000000000001,-1252.4865494519102
10.4,-1252.4854712191934
10.6,-1252.4833281419446
10.8,-1252.4806114252528
11.0,-1252.4807796192968
11.200000000000001,-1252.4853407345943
11.4,-1252.4871854501796
11.6,-1252.4839731573331
11.8,-1252.481188354662
12.0,-1252.4808961129543
12.200000000000001,-1252.4829128302144
12.4,-1252.486531450005
12.6,-1252.4865491331163
12.8,-1252.4818914308898
13.0,-1252.4799993608478
13.200000000000001,-1252.482554946462
13.4,-1252.484979637397
13.6,-1252.486517834182
13.8,-1252.484803324611
14.0,-1252.4801255623763
14.200000000000001,-1252.4804181774984
14.4,-1252.4847831456018
14.6,-1252.4861118489723
14.8,-1252.4852541013686
15.0,-1252.4826894306314
15.200000000000001,-1252.4796413798047
15.4,-1252.4820544704137
15.6,-1252.4865264624077
15.8,-1252.4860572932091
16.0,-1252.4831918161835
16.2,-1252.4810977854602
16.4,-1252.480708363588
16.6,-1252.483996864901
16.8,-1252.487202647494
17.0,-1252.4849299042323
17.2,-1252.4810464252716
17.400000000000002,-1252.4808197602308
17.6,-1252.4827603701262
17.8,-1252.4853484152295
18.0,-1252.4867398669974
18.2,-1252.483225542335
18.400000000000002,-1252.4796579609115
18.6,-1252.481861079717
18.8,-1252.4848695562146
19.0,-1252.4858109195618
