algorithm,mean,std,range,slope,monotone increasing
Beeman,-1252.4834480638872,0.002367285825301108,0.008101537971697326,-1.6191391759899422e-07,False
Euler-Cromer,-1252.3938986516112,0.10984010108375185,0.5090142892927361,9.52347963620405e-06,False
Direct Euler,-901.5071331983087,126.808796727474,486.78847843328595,2.1371968284949725,True
